sample_id	phylum	Surface	rela
CD3_ita_i	Candidatus Saccharibacteria	clean drain	4.826175842951006e-4
CD3_ita_i	Chlamydiota	clean drain	1.5233301956996955e-5
CD3_ita_i	Chlorobiota	clean drain	1.4125872897118339e-5
CD3_ita_i	Chloroflexota	clean drain	5.1409317913031724e-5
CD3_ita_i	Chrysiogenota	clean drain	1.3289148718543385e-6
CD3_ita_i	Coprothermobacterota	clean drain	1.599619753158e-6
CD3_ita_i	Cyanobacteriota	clean drain	1.7032258940933106e-4
CD3_ita_i	Deferribacterota	clean drain	4.8234687941379695e-6
CD3_ita_i	Deinococcota	clean drain	2.3007453957344835e-4
CD3_ita_i	Dictyoglomota	clean drain	5.660192972712923e-7
CD3_ita_i	Elusimicrobiota	clean drain	7.38286039919077e-7
CD3_ita_i	Fibrobacterota	clean drain	1.2550862678624309e-6
CD3_ita_i	Fusobacteriota	clean drain	3.7012740134609725e-5
CD3_ita_i	Gemmatimonadota	clean drain	4.53553723856953e-5
CD3_ita_i	Ignavibacteriota	clean drain	3.4453348529556925e-6
CD3_ita_i	Kiritimatiellota	clean drain	7.555127141838554e-6
CD3_ita_i	Lentisphaerota	clean drain	5.660192972712923e-7
CD3_ita_i	Mycoplasmatota	clean drain	4.914524072394656e-5
CD3_ita_i	Myxococcota	clean drain	5.704982325801347e-4
CD3_ita_i	Nitrospinota	clean drain	1.3535244065183078e-6
CD3_ita_i	Nitrospirota	clean drain	1.7202064730114493e-5
CD3_ita_i	Planctomycetota	clean drain	3.3486193817262936e-4
CD3_ita_i	Pseudomonadota	clean drain	0.22804235802950176
CD3_ita_i	Rhodothermota	clean drain	1.6414559620867478e-5
CD3_ita_i	Spirochaetota	clean drain	4.631514423759009e-5
CD3_ita_i	Synergistota	clean drain	2.1557952365637047e-5
CD3_ita_i	Thermodesulfobacteriota	clean drain	2.685884613225602e-4
CD3_ita_i	Thermodesulfobiota	clean drain	5.168002279433539e-7
CD3_ita_i	Thermomicrobiota	clean drain	8.096536904445877e-6
CD3_ita_i	Thermosulfidibacterota	clean drain	7.38286039919077e-8
CD3_ita_i	Thermotogota	clean drain	8.071927369781908e-6
CD3_ita_i	Unknown	clean drain	0.0015271446735726107
CD3_ita_i	Verrucomicrobiota	clean drain	1.2149727263601609e-4
CD3_ita_i	Vulcanimicrobiota	clean drain	6.4476980819599385e-6
CD4_ita_i	Acidobacteriota	clean drain	6.543560383013372e-5
CD4_ita_i	Actinomycetota	clean drain	0.8199345224891088
CD4_ita_i	Aquificota	clean drain	8.835826134470216e-7
CD4_ita_i	Armatimonadota	clean drain	2.726483492922238e-6
CD4_ita_i	Atribacterota	clean drain	5.049043505411552e-8
CD4_ita_i	Bacillota	clean drain	0.0029946886839297
CD4_ita_i	Bacteroidota	clean drain	0.01671720632989496
CD4_ita_i	Balneolota	clean drain	4.2916869795998194e-7
CD4_ita_i	Bdellovibrionota	clean drain	8.356167001456119e-6
CD4_ita_i	Caldisericota	clean drain	5.049043505411552e-8
CD4_ita_i	Calditrichota	clean drain	3.029426103246931e-7
CD4_ita_i	Campylobacterota	clean drain	3.237446695669887e-4
CD4_ita_i	Candidatus Absconditibacteriota	clean drain	2.524521752705776e-8
CD4_ita_i	Candidatus Bipolaricaulota	clean drain	5.30149568068213e-7
CD4_ita_i	Candidatus Cloacimonadota	clean drain	1.0098087010823104e-7
CD4_ita_i	Candidatus Fervidibacterota	clean drain	1.3632417464611192e-6
CD4_ita_i	Candidatus Omnitrophota	clean drain	2.776973927976354e-7
CD4_ita_i	Candidatus Saccharibacteria	clean drain	3.4484967141960903e-4
CD4_ita_i	Chlamydiota	clean drain	1.3607172247084133e-5
CD4_ita_i	Chlorobiota	clean drain	5.30149568068213e-6
CD4_ita_i	Chloroflexota	clean drain	3.668130106681493e-5
CD4_ita_i	Chrysiogenota	clean drain	8.330921783929061e-7
CD4_ita_i	Coprothermobacterota	clean drain	5.806400031223286e-7
CD4_ita_i	Cyanobacteriota	clean drain	8.853497786739157e-5
CD4_ita_i	Deferribacterota	clean drain	2.650747840341065e-6
CD4_ita_i	Deinococcota	clean drain	0.026430556225605705
CD4_ita_i	Dictyoglomota	clean drain	1.262260876352888e-7
CD4_ita_i	Elusimicrobiota	clean drain	6.058852206493862e-7
CD4_ita_i	Fibrobacterota	clean drain	3.5343304537880864e-7
CD4_ita_i	Fusobacteriota	clean drain	2.4639332306408376e-5
CD4_ita_i	Gemmatimonadota	clean drain	1.736870965861574e-5
