sample_id	family	Surface	rela
CAR1_ita_i	Gloeobacteraceae	carcass	5.10677537775547e-6
CAR1_ita_i	Gloeomargaritaceae	carcass	1.6274339115924025e-6
CAR1_ita_i	Glycomycetaceae	carcass	1.2289931953059868e-5
CAR1_ita_i	Gomontiellaceae	carcass	3.984407162864158e-6
CAR1_ita_i	Gordoniaceae	carcass	0.0012047500418643344
CAR1_ita_i	Gottschalkiaceae	carcass	3.7655453609603524e-5
CAR1_ita_i	Granulosicoccaceae	carcass	9.427893005087022e-6
CAR1_ita_i	Hafniaceae	carcass	3.462505942939698e-5
CAR1_ita_i	Hahellaceae	carcass	1.2402168774548998e-5
CAR1_ita_i	Halanaerobiaceae	carcass	2.441150867388604e-5
CAR1_ita_i	Halieaceae	carcass	2.424315344165234e-5
CAR1_ita_i	Haliovirgaceae	carcass	1.1784866256358777e-5
CAR1_ita_i	Haliscomenobacteraceae	carcass	4.814959641883729e-5
CAR1_ita_i	Halobacteriovoraceae	carcass	2.373808774495125e-5
CAR1_ita_i	Halobacteroidaceae	carcass	1.7003878455603377e-5
CAR1_ita_i	Halomonadaceae	carcass	2.574151500853224e-4
CAR1_ita_i	Halothecacae	carcass	6.90256452158157e-6
CAR1_ita_i	Halothermotrichaceae	carcass	5.780196306690257e-6
CAR1_ita_i	Halothiobacillaceae	carcass	7.968814325728316e-6
CAR1_ita_i	Hapalosiphonaceae	carcass	5.611841074456561e-6
CAR1_ita_i	Helicobacteraceae	carcass	7.862189345313642e-5
CAR1_ita_i	Heliobacteriaceae	carcass	1.2626642417527261e-5
CAR1_ita_i	Hippeaceae	carcass	4.040525573608724e-6
CAR1_ita_i	Holophagaceae	carcass	4.141538712948942e-5
CAR1_ita_i	Holosporaceae	carcass	9.708485058809849e-6
CAR1_ita_i	Hoyosellaceae	carcass	2.250348270857081e-5
CAR1_ita_i	Hujiaoplasmataceae	carcass	8.137169557962013e-6
CAR1_ita_i	Hydrogenimonadaceae	carcass	1.1672629434869646e-5
CAR1_ita_i	Hydrogenophilaceae	carcass	0.0011122107825465456
CAR1_ita_i	Hydrogenothermaceae	carcass	6.621972467858741e-6
CAR1_ita_i	Hyellaceae	carcass	8.193287968706578e-6
CAR1_ita_i	Hymenobacteraceae	carcass	3.502911198675785e-4
CAR1_ita_i	Hyphomicrobiaceae	carcass	6.908176362656026e-5
CAR1_ita_i	Hyphomonadaceae	carcass	3.967571639640788e-5
CAR1_ita_i	Iamiaceae	carcass	4.180821600470137e-5
CAR1_ita_i	Ichthyobacteriaceae	carcass	8.249406379451144e-6
CAR1_ita_i	Idiomarinaceae	carcass	4.9215846222984035e-5
CAR1_ita_i	Ignatzschineriaceae	carcass	3.4288348964929586e-5
CAR1_ita_i	Ignavibacteriaceae	carcass	2.0651575154000143e-5
CAR1_ita_i	Ilumatobacteraceae	carcass	6.060788360413085e-6
CAR1_ita_i	Immundisolibacteraceae	carcass	1.150427420263595e-5
CAR1_ita_i	Intrasporangiaceae	carcass	3.8435499518952985e-4
CAR1_ita_i	Isosphaeraceae	carcass	2.761025808632628e-5
CAR1_ita_i	Jatrophihabitantaceae	carcass	2.6038942585478444e-5
CAR1_ita_i	Jiangellaceae	carcass	3.580354605503285e-5
CAR1_ita_i	Jonesiaceae	carcass	1.2009339899337039e-5
CAR1_ita_i	Kaistiaceae	carcass	2.2279009065592547e-5
CAR1_ita_i	Kangiellaceae	carcass	1.5151970901032715e-5
CAR1_ita_i	Ketobacteraceae	carcass	7.632103861260923e-6
CAR1_ita_i	Kiloniellaceae	carcass	4.657828091798945e-6
CAR1_ita_i	Kineosporiaceae	carcass	2.895709994419585e-5
CAR1_ita_i	Kiritimatiellaceae	carcass	2.7498021264837145e-6
CAR1_ita_i	Kofleriaceae	carcass	1.301947129273922e-5
CAR1_ita_i	Koleobacteraceae	carcass	7.91269591498375e-6
CAR1_ita_i	Kordiimonadaceae	carcass	9.652366648065284e-6
CAR1_ita_i	Kosmotogaceae	carcass	6.285262003391348e-6
CAR1_ita_i	Kribbellaceae	carcass	1.0690557246839747e-4
CAR1_ita_i	Kribbibacteriaceae	carcass	1.6274339115924025e-6
CAR1_ita_i	Ktedonosporobacteraceae	carcass	1.9641443760597963e-6
CAR1_ita_i	Kytococcaceae	carcass	5.230235881393514e-5
CAR1_ita_i	Labilitrichaceae	carcass	2.2671837940804505e-5
CAR1_ita_i	Lachnospiraceae	carcass	0.001661217194860631
CAR1_ita_i	Lacipirellulaceae	carcass	1.8968022831663174e-5
CAR1_ita_i	Lactobacillaceae	carcass	0.0025070900000134684
CAR1_ita_i	Lawsonellaceae	carcass	2.6375653049945834e-6
CAR1_ita_i	Leadbetterellaceae	carcass	1.8204812445537082e-4
CAR1_ita_i	Legionellaceae	carcass	1.0550261219978333e-4
CAR1_ita_i	Lentisphaeraceae	carcass	2.8059205372282804e-6
CAR1_ita_i	Leptolyngbyaceae	carcass	3.266091505333718e-5
