sample_id	sample_coverm	Contig_name	Mean coverm	Trimmed Mean coverm	Variance coverm	RPKM coverm	Covered Bases coverm	Length coverm	Read Count coverm	Reads per base coverm	total_rpkm coverm	TPM coverm
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_122112_length_1124_cov_3.929841	6.205339	6.1993165	8.31956	0.5793231	1124	1124	46	0.040925268	822701.4412394845	0.7041717334628588
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_136173_length_1040_cov_11.390863	6.922472	7.002494	9.385436	0.6125034	1040	1040	45	0.043269232	822701.4412394845	0.7445026461570319
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_138921_length_1026_cov_2.721936	4.3207765	4.2670884	3.0775568	0.38631362	1026	1026	28	0.027290449	822701.4412394845	0.46956720948243236
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_154609_length_951_cov_8.090402	13.017478	13.184466	10.599692	1.13126	951	951	76	0.07991588	822701.4412394845	1.3750553278424313
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_163303_length_916_cov_4.490128	7.4608355	7.495652	4.3324513	0.63360375	916	916	41	0.044759825	822701.4412394845	0.7701502856800769
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_166012_length_905_cov_21.225882	34.3298	34.627018	44.743866	2.9875429	905	905	191	0.21104972	822701.4412394845	3.631381629159369
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_177920_length_862_cov_42.292441	63.636234	63.919003	115.03626	5.50132	862	862	335	0.38863108	822701.4412394845	6.686897243928119
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_181080_length_852_cov_2.521957	3.6452992	3.6724684	2.0494719	0.31567731	803	852	19	0.022300469	822701.4412394845	0.38370822533676324
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_181535_length_850_cov_105.898113	163.13715	163.70317	207.56625	14.605285	850	850	877	1.0317647	822701.4412394845	17.752837503232804
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_183319_length_845_cov_2.296203	3.7553957	3.7480063	2.179276	0.33504462	845	845	20	0.02366864	822701.4412394845	0.40724934126190515
